graph,query,run,runtime_ms
artificial_trees_truebase_100_dewey,04_insert_first_root,5,3.991
artificial_trees_truebase_100_prepost,01_insert_last_child_under_last_root,1,2.833
artificial_trees_truebase_100_prepost,01_insert_last_child_under_last_root,2,2.974
artificial_trees_truebase_100_prepost,01_insert_last_child_under_last_root,3,2.879
artificial_trees_truebase_100_prepost,01_insert_last_child_under_last_root,4,2.979
artificial_trees_truebase_100_prepost,01_insert_last_child_under_last_root,5,3.045
artificial_trees_truebase_100_prepost,02_insert_first_child_under_first_root,1,3.905
artificial_trees_truebase_100_prepost,02_insert_first_child_under_first_root,2,3.840
artificial_trees_truebase_100_prepost,02_insert_first_child_under_first_root,3,3.880
artificial_trees_truebase_100_prepost,02_insert_first_child_under_first_root,4,2.798
artificial_trees_truebase_100_prepost,02_insert_first_child_under_first_root,5,4.038
artificial_trees_truebase_100_prepost,03_insert_last_root,1,2.056
artificial_trees_truebase_100_prepost,03_insert_last_root,2,1.973
artificial_trees_truebase_100_prepost,03_insert_last_root,3,1.905
artificial_trees_truebase_100_prepost,03_insert_last_root,4,1.964
artificial_trees_truebase_100_prepost,03_insert_last_root,5,1.892
artificial_trees_truebase_100_prepost,04_insert_first_root,1,2.915
artificial_trees_truebase_100_prepost,04_insert_first_root,2,2.869
artificial_trees_truebase_100_prepost,04_insert_first_root,3,2.703
artificial_trees_truebase_100_prepost,04_insert_first_root,4,2.881
artificial_trees_truebase_100_prepost,04_insert_first_root,5,2.977
artificial_trees_truebase_10_baseline,01_insert_last_child_under_last_root,1,1.940
artificial_trees_truebase_10_baseline,01_insert_last_child_under_last_root,2,2.028
artificial_trees_truebase_10_baseline,01_insert_last_child_under_last_root,3,2.000
artificial_trees_truebase_10_baseline,01_insert_last_child_under_last_root,4,2.017
artificial_trees_truebase_10_baseline,01_insert_last_child_under_last_root,5,2.053
artificial_trees_truebase_10_baseline,02_insert_first_child_under_first_root,1,2.035
artificial_trees_truebase_10_baseline,02_insert_first_child_under_first_root,2,1.948
artificial_trees_truebase_10_baseline,02_insert_first_child_under_first_root,3,1.976
artificial_trees_truebase_10_baseline,02_insert_first_child_under_first_root,4,2.032
artificial_trees_truebase_10_baseline,02_insert_first_child_under_first_root,5,1.738
artificial_trees_truebase_10_baseline,03_insert_last_root,1,1.485
artificial_trees_truebase_10_baseline,03_insert_last_root,2,1.417
artificial_trees_truebase_10_baseline,03_insert_last_root,3,1.387
artificial_trees_truebase_10_baseline,03_insert_last_root,4,1.402
artificial_trees_truebase_10_baseline,03_insert_last_root,5,1.406
artificial_trees_truebase_10_baseline,04_insert_first_root,1,1.075
artificial_trees_truebase_10_baseline,04_insert_first_root,2,1.341
artificial_trees_truebase_10_baseline,04_insert_first_root,3,1.612
artificial_trees_truebase_10_baseline,04_insert_first_root,4,1.757
artificial_trees_truebase_10_baseline,04_insert_first_root,5,1.483
artificial_trees_truebase_10_dewey,01_insert_last_child_under_last_root,1,3.708
artificial_trees_truebase_10_dewey,01_insert_last_child_under_last_root,2,3.800
artificial_trees_truebase_10_dewey,01_insert_last_child_under_last_root,3,3.694
artificial_trees_truebase_10_dewey,01_insert_last_child_under_last_root,4,3.644
artificial_trees_truebase_10_dewey,01_insert_last_child_under_last_root,5,4.107
artificial_trees_truebase_10_dewey,02_insert_first_child_under_first_root,1,3.871
artificial_trees_truebase_10_dewey,02_insert_first_child_under_first_root,2,3.006
artificial_trees_truebase_10_dewey,02_insert_first_child_under_first_root,3,2.967
artificial_trees_truebase_10_dewey,02_insert_first_child_under_first_root,4,3.895
artificial_trees_truebase_10_dewey,02_insert_first_child_under_first_root,5,3.073
