Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
s_all_tagclass,check_same_subtree_false,dewey,13.545
s_all_tagclass,check_same_subtree_false,prepost,9.174
s_all_tagclass,check_if_ancestor_false,baseline,43.441
s_all_tagclass,check_if_ancestor_false,dewey,2.15
s_all_tagclass,check_if_ancestor_false,prepost,1.741
ultratall_10000,all_descendants,baseline,87.053
ultratall_10000,all_descendants,dewey,9.227
ultratall_10000,all_descendants,prepost,8.666
ultratall_10000,all_children,baseline,3.983
ultratall_10000,all_children,dewey,4.536
ultratall_10000,all_children,prepost,4.048
ultratall_10000,all_leaves,baseline,68.698
ultratall_10000,all_leaves,dewey,16.852
ultratall_10000,all_leaves,prepost,6.282
ultratall_10000,count_descendants,baseline,64.021
ultratall_10000,count_descendants,dewey,11.053
ultratall_10000,count_descendants,prepost,1.235
ultratall_10000,count_leaves,baseline,80.259
ultratall_10000,count_leaves,dewey,20.818
ultratall_10000,count_leaves,prepost,9.734
ultratall_10000,check_same_subtree_true,baseline,22.82
ultratall_10000,check_same_subtree_true,dewey,13.277
ultratall_10000,check_same_subtree_true,prepost,12.307
ultratall_10000,all_ancestors,baseline,15.523
ultratall_10000,all_ancestors,dewey,9.853
ultratall_10000,all_ancestors,prepost,7.728
ultratall_10000,check_if_ancestor_true,baseline,58.781
ultratall_10000,check_if_ancestor_true,dewey,2.143
ultratall_10000,check_if_ancestor_true,prepost,2.201
ultratall_10000,check_same_subtree_false,baseline,24.697
ultratall_10000,check_same_subtree_false,dewey,14.269
ultratall_10000,check_same_subtree_false,prepost,12.627
ultratall_10000,check_if_ancestor_false,baseline,59.272
ultratall_10000,check_if_ancestor_false,dewey,2.293
ultratall_10000,check_if_ancestor_false,prepost,1.903
ultrawide_10,all_descendants,baseline,3.118
ultrawide_10,all_descendants,dewey,1.726
ultrawide_10,all_descendants,prepost,2.062
ultrawide_10,all_children,baseline,1.774
ultrawide_10,all_children,dewey,2.055
ultrawide_10,all_children,prepost,1.909
ultrawide_10,all_leaves,baseline,6.513
ultrawide_10,all_leaves,dewey,7.088
ultrawide_10,all_leaves,prepost,6.077
ultrawide_10,count_descendants,baseline,4.021
ultrawide_10,count_descendants,dewey,3.132
ultrawide_10,count_descendants,prepost,0.877
ultrawide_10,count_leaves,baseline,16.251
ultrawide_10,count_leaves,dewey,10.872
ultrawide_10,count_leaves,prepost,12.315
ultrawide_10,check_same_subtree_true,baseline,20.007
ultrawide_10,check_same_subtree_true,dewey,7.882
ultrawide_10,check_same_subtree_true,prepost,5.509
ultrawide_10,all_ancestors,baseline,6.194
ultrawide_10,all_ancestors,dewey,1.911
ultrawide_10,all_ancestors,prepost,2.16
ultrawide_10,check_if_ancestor_true,baseline,32.217
ultrawide_10,check_if_ancestor_true,dewey,1.095
ultrawide_10,check_if_ancestor_true,prepost,1.19
ultrawide_10,check_same_subtree_false,baseline,8.265
ultrawide_10,check_same_subtree_false,dewey,4.793
ultrawide_10,check_same_subtree_false,prepost,3.058
