Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
truebase_1000,all_children,baseline,1.738
truebase_1000,all_children,dewey,4.182
truebase_1000,all_children,prepost,2.682
truebase_1000,all_leaves,baseline,29.48
truebase_1000,all_leaves,dewey,29.691
truebase_1000,all_leaves,prepost,31.214
truebase_1000,count_descendants,baseline,3.078
truebase_1000,count_descendants,dewey,1.747
truebase_1000,count_descendants,prepost,1.974
truebase_1000,count_leaves,baseline,4.4
truebase_1000,count_leaves,dewey,5.454
truebase_1000,count_leaves,prepost,2.907
truebase_1000,check_same_subtree_true,baseline,1.899
truebase_1000,check_same_subtree_true,dewey,1.734
truebase_1000,check_same_subtree_true,prepost,1.542
truebase_1000,all_ancestors,baseline,3.095
truebase_1000,all_ancestors,dewey,4.168
truebase_1000,all_ancestors,prepost,4.253
truebase_1000,check_if_ancestor_true,baseline,1.818
truebase_1000,check_if_ancestor_true,dewey,1.921
truebase_1000,check_if_ancestor_true,prepost,1.725
truebase_1000,check_same_subtree_false,baseline,2.196
truebase_1000,check_same_subtree_false,dewey,2.069
truebase_1000,check_same_subtree_false,prepost,2.14
truebase_1000,check_if_ancestor_false,baseline,1.965
truebase_1000,check_if_ancestor_false,dewey,1.727
truebase_1000,check_if_ancestor_false,prepost,1.97
truebase_100000,all_descendants,baseline,3814.091
truebase_100000,all_descendants,dewey,4588.644
truebase_100000,all_descendants,prepost,4662.349
truebase_100000,all_children,baseline,2.764
truebase_100000,all_children,dewey,33.235
truebase_100000,all_children,prepost,26.245
truebase_100000,all_leaves,baseline,3224.671
truebase_100000,all_leaves,dewey,5188.072
truebase_100000,all_leaves,prepost,5238.413
truebase_100000,count_descendants,baseline,60.234
truebase_100000,count_descendants,dewey,14.753
truebase_100000,count_descendants,prepost,10.11
truebase_100000,count_leaves,baseline,115.945
truebase_100000,count_leaves,dewey,67.866
truebase_100000,count_leaves,prepost,31.173
truebase_100000,check_same_subtree_true,baseline,2.15
truebase_100000,check_same_subtree_true,dewey,1.933
truebase_100000,check_same_subtree_true,prepost,1.597
truebase_100000,all_ancestors,baseline,3.444
truebase_100000,all_ancestors,dewey,18.859
truebase_100000,all_ancestors,prepost,16.287
truebase_100000,check_if_ancestor_true,baseline,2.595
truebase_100000,check_if_ancestor_true,dewey,1.748
truebase_100000,check_if_ancestor_true,prepost,1.852
truebase_100000,check_same_subtree_false,baseline,1.745
truebase_100000,check_same_subtree_false,dewey,1.393
truebase_100000,check_same_subtree_false,prepost,1.856
truebase_100000,check_if_ancestor_false,baseline,2.035
truebase_100000,check_if_ancestor_false,dewey,1.621
truebase_100000,check_if_ancestor_false,prepost,1.612
ultratall_10,all_descendants,baseline,2.497
ultratall_10,all_descendants,dewey,2.573
ultratall_10,all_descendants,prepost,3.043
