Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
107,1.1543486888298686,truebase_1000,all_descendants,dewey,37.813,32.757
108,1.1511831462030666,ultrawide_1000,all_descendants,dewey,38.141,33.132
109,1.1459642052862393,ultratall_1000,all_descendants,prepost,38.674,33.748
110,1.1456221198156684,ultrawide_10,all_leaves,dewey,1.243,1.085
111,1.1453268764288287,ultratall_100000,all_leaves,dewey,1969.393,1719.503
112,1.1436667921375159,ultrawide_10000,all_descendants,prepost,428.405,374.589
113,1.1434585279221208,s_all_place,all_descendants,prepost,34.768,30.406
114,1.1424735638280241,ultrawide_1000,all_leaves,prepost,34.465,30.167
115,1.1422142214221422,artificial_forest_40,all_children,prepost,1.269,1.111
116,1.139549839228296,s_all_place,all_ancestors,dewey,1.772,1.555
117,1.1373011196228637,ultratall_100000,check_if_ancestor_true,prepost,1.93,1.697
118,1.1371359223300972,s1,count_descendants,dewey,0.937,0.824
119,1.132515337423313,s2,all_ancestors,dewey,0.923,0.815
120,1.1304593982529925,s2,all_leaves,dewey,27.954,24.728
121,1.1286002133459763,ultratall_1000,all_descendants,dewey,38.088,33.748
122,1.1261558784676355,ultratall_10,all_ancestors,dewey,1.705,1.514
123,1.1202065381832533,s_all_place,all_descendants,dewey,34.061,30.406
124,1.118066421488583,ultrawide_100000,all_leaves,dewey,5244.863,4691.012
125,1.117181764547277,ultrawide_10000,all_descendants,dewey,418.484,374.589
126,1.116019417475728,artificial_forest_40,all_leaves,dewey,2.299,2.06
127,1.1101203301620974,ultrawide_1000,all_leaves,dewey,33.489,30.167
128,1.1095635214025827,truebase_10000,all_descendants,dewey,418.706,377.361
129,1.1074960023496392,s_all_place,all_leaves,dewey,33.937,30.643
